talkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout
0.1,0.1,0.1,0.1,0.1,0,50,0
0.1,0.1,0.1,0.1,0.5,0,50,0
0.1,0.1,0.1,0.1,0.9,0,50,0
0.1,0.1,0.1,0.5,0.1,0,50,0
0.1,0.1,0.1,0.5,0.5,0,50,0
0.1,0.1,0.1,0.5,0.9,0,50,0
0.1,0.1,0.1,0.9,0.1,0,50,0
0.1,0.1,0.1,0.9,0.5,0,50,0
0.1,0.1,0.1,0.9,0.9,0,50,0
0.1,0.1,0.5,0.1,0.1,0,35,15
0.1,0.1,0.5,0.1,0.5,0,36,14
0.1,0.1,0.5,0.1,0.9,0,50,0
0.1,0.1,0.5,0.5,0.1,0,32,18
0.1,0.1,0.5,0.5,0.5,0,35,15
0.1,0.1,0.5,0.5,0.9,0,50,0
0.1,0.1,0.5,0.9,0.1,0,33,17
0.1,0.1,0.5,0.9,0.5,0,41,9
0.1,0.1,0.5,0.9,0.9,0,50,0
0.1,0.1,0.9,0.1,0.1,0,37,13
0.1,0.1,0.9,0.1,0.5,0,47,3
0.1,0.1,0.9,0.1,0.9,0,50,0
0.1,0.1,0.9,0.5,0.1,0,37,13
0.1,0.1,0.9,0.5,0.5,0,45,5
0.1,0.1,0.9,0.5,0.9,0,50,0
0.1,0.1,0.9,0.9,0.1,0,34,16
0.1,0.1,0.9,0.9,0.5,0,46,4
0.1,0.1,0.9,0.9,0.9,0,50,0
0.1,0.5,0.1,0.1,0.1,0,49,1
0.1,0.5,0.1,0.1,0.5,0,49,1
0.1,0.5,0.1,0.1,0.9,0,50,0
0.1,0.5,0.1,0.5,0.1,0,49,1
0.1,0.5,0.1,0.5,0.5,0,50,0
0.1,0.5,0.1,0.5,0.9,0,50,0
0.1,0.5,0.1,0.9,0.1,0,47,3
0.1,0.5,0.1,0.9,0.5,0,50,0
0.1,0.5,0.1,0.9,0.9,0,50,0
0.1,0.5,0.5,0.1,0.1,24,23,3
0.1,0.5,0.5,0.1,0.5,32,18,0
0.1,0.5,0.5,0.1,0.9,28,22,0
0.1,0.5,0.5,0.5,0.1,0,19,31
0.1,0.5,0.5,0.5,0.5,4,44,2
0.1,0.5,0.5,0.5,0.9,2,48,0
0.1,0.5,0.5,0.9,0.1,0,19,31
0.1,0.5,0.5,0.9,0.5,0,49,1
