alkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout,percent
0.1,0.1,0.1,0.1,0.1,0,2,0,
0.1,0.1,0.1,0.1,0.5,0,2,0,
0.1,0.1,0.1,0.1,0.9,0,2,0,
0.1,0.1,0.1,0.5,0.1,0,2,0,
0.1,0.1,0.1,0.5,0.5,0,2,0,
0.1,0.1,0.1,0.5,0.9,0,2,0,
0.1,0.1,0.1,0.9,0.1,0,2,0,
0.1,0.1,0.1,0.9,0.5,0,2,0,
0.1,0.1,0.1,0.9,0.9,0,2,0,
0.1,0.1,0.5,0.1,0.1,0,2,0,
0.1,0.1,0.5,0.1,0.5,0,2,0,
0.1,0.1,0.5,0.1,0.9,0,2,0,
0.1,0.1,0.5,0.5,0.1,0,2,0,
0.1,0.1,0.5,0.5,0.5,0,1,1,
0.1,0.1,0.5,0.5,0.9,0,2,0,
0.1,0.1,0.5,0.9,0.1,0,0,2,
0.1,0.1,0.5,0.9,0.5,0,0,2,
0.1,0.1,0.5,0.9,0.9,0,2,0,
0.1,0.1,0.9,0.1,0.1,0,2,0,
0.1,0.1,0.9,0.1,0.5,0,2,0,
0.1,0.1,0.9,0.1,0.9,0,2,0,
0.1,0.1,0.9,0.5,0.1,0,1,1,
0.1,0.1,0.9,0.5,0.5,0,2,0,
0.1,0.1,0.9,0.5,0.9,0,2,0,
0.1,0.1,0.9,0.9,0.1,0,0,2,
0.1,0.1,0.9,0.9,0.5,0,2,0,
0.1,0.1,0.9,0.9,0.9,0,2,0,
0.1,0.5,0.1,0.1,0.1,0,2,0,
0.1,0.5,0.1,0.1,0.5,0,2,0,
0.1,0.5,0.1,0.1,0.9,0,2,0,
0.1,0.5,0.1,0.5,0.1,0,2,0,
0.1,0.5,0.1,0.5,0.5,0,2,0,
0.1,0.5,0.1,0.5,0.9,0,2,0,
0.1,0.5,0.1,0.9,0.1,0,2,0,
0.1,0.5,0.1,0.9,0.5,0,2,0,
0.1,0.5,0.1,0.9,0.9,0,2,0,
0.1,0.5,0.5,0.1,0.1,1,1,0,6.67
0.1,0.5,0.5,0.1,0.5,1,1,0,100.0
0.1,0.5,0.5,0.1,0.9,2,0,0,"100.0, 100.0"
0.1,0.5,0.5,0.5,0.1,0,0,2,
0.1,0.5,0.5,0.5,0.5,0,2,0,
0.1,0.5,0.5,0.5,0.9,0,2,0,
0.1,0.5,0.5,0.9,0.1,0,0,2,
0.1,0.5,0.5,0.9,0.5,0,2,0,
0.1,0.5,0.5,0.9,0.9,0,2,0,
0.1,0.5,0.9,0.1,0.1,1,1,0,13.33
0.1,0.5,0.9,0.1,0.5,1,1,0,100.0
0.1,0.5,0.9,0.1,0.9,0,2,0,
0.1,0.5,0.9,0.5,0.1,2,0,0,"33.33, 13.33"
