talkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout,percent
0.1,0.1,0.1,,0.1,0,45,5,
0.1,0.1,0.1,,0.5,0,48,2,
0.1,0.1,0.1,,0.9,0,50,0,
0.1,0.1,0.1,0.5,0.1,0,49,1,
0.1,0.1,0.1,0.5,0.5,0,50,0,
0.1,0.1,0.1,0.5,0.9,0,50,0,
0.1,0.1,0.1,0.9,0.1,0,47,3,
0.1,0.1,0.1,0.9,0.5,0,48,2,
0.1,0.1,0.1,0.9,0.9,0,50,0,
0.1,0.1,0.5,,0.1,0,31,19,
0.1,0.1,0.5,,0.5,0,36,14,
0.1,0.1,0.5,,0.9,0,50,0,
0.1,0.1,0.5,0.5,0.1,0,34,16,
0.1,0.1,0.5,0.5,0.5,0,37,13,
0.1,0.1,0.5,0.5,0.9,0,50,0,
0.1,0.1,0.5,0.9,0.1,0,39,11,
0.1,0.1,0.5,0.9,0.5,0,44,6,
0.1,0.1,0.5,0.9,0.9,0,50,0,
0.1,0.1,0.9,,0.1,0,35,15,
0.1,0.1,0.9,,0.5,0,40,10,
0.1,0.1,0.9,,0.9,3,47,0,"100.0, 100.0, 100.0"
0.1,0.1,0.9,0.5,0.1,0,35,15,
0.1,0.1,0.9,0.5,0.5,0,41,9,
0.1,0.1,0.9,0.5,0.9,0,50,0,
0.1,0.1,0.9,0.9,0.1,0,30,20,
0.1,0.1,0.9,0.9,0.5,0,43,7,
0.1,0.1,0.9,0.9,0.9,1,49,0,100.0
0.1,0.5,0.1,,0.1,0,12,38,
0.1,0.5,0.1,,0.5,7,18,25,"93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
